[-13, -14, 8, 6, 5, 10]
[-14, -17, 14, 4, 2, 13]
[-21, -12, 7, 9, 15, 3]
[-15, -17, 15, -1, 0, 19]
[-24, -11, 8, 13, 16, -2]
[-19, -20, 13, 4, 8, 16]
[-31, -14, 14, 10, 17, 6]
[-18, -20, 17, -8, 2, 28]
[-36, -10, 12, 10, 24, 1]
[-24, -26, 20, 7, 4, 19]
[-26, -27, 18, 6, 10, 21]
[-21, -24, 34, 24, -11, 0]
[-40, -13, -4, 14, 44, 0]
[-41, -17, 3, 16, 39, 1]
[-28, -33, 24, 6, 4, 27]
[-42, -18, 14, 15, 30, 3]
[-40, -23, 40, 16, 0, 7]
[-44, -19, 8, 20, 36, -1]
[-31, -25, 32, 35, -1, -9]
[-24, -21, 40, 27, -16, -6]
[-37, -24, 39, 33, -1, -9]
[-37, -35, 39, 22, -1, 13]
[-48, -26, 12, 19, 36, 9]
[-24, -43, 20, -10, 4, 53]
[-32, -36, 40, 29, -8, 9]
[-28, -29, 35, -13, -7, 43]
[-32, -25, 40, 40, -8, -15]
[-24, -46, 28, -7, -4, 53]
[-50, -31, 22, 23, 30, 8]
[-36, -49, 32, 2, 4, 47]
[-64, -18, 16, 21, 48, -3]
[-41, -44, 43, 36, -2, 8]
[-49, -32, 56, 24, -7, 8]
[-38, -48, 42, 12, -3, 36]
[-44, -25, 64, 20, -20, 7]
[-46, -40, 31, -4, 17, 44]
[-60, -30, 24, 33, 36, -2]
[-31, -40, 53, 40, -22, 0]
[-37, -39, 55, 30, -17, 9]
[-45, -22, 72, 22, -27, 2]
[-41, -53, 43, 10, -1, 43]
[-27, -52, 21, -16, 8, 68]
[-32, -52, 44, 5, -12, 47]
[-65, -30, 25, 26, 40, 6]
[-42, -40, 58, 35, -14, 5]
[-44, -54, 32, 3, 12, 51]
[-40, -58, 36, -1, 4, 59]
[-37, -53, 47, 10, -9, 43]
[-45, -55, 35, 5, 11, 50]
[-40, -26, 56, 46, -16, -19]
[-65, -37, 23, 29, 43, 8]
[-88, -14, 32, 13, 56, 3]
[-41, -57, 47, 9, -5, 48]
[-56, -27, 76, 28, -20, 0]
[-88, -17, 32, 18, 56, 0]
[-33, -28, 63, 44, -28, -16]
[-47, -49, 49, -9, -2, 59]
[-50, -45, 66, 42, -14, 3]
[-37, -56, 55, 13, -17, 43]
[-53, -23, 87, 24, -33, -3]
[-51, -40, 59, 56, -6, -16]
[-73, -34, 27, 41, 47, -7]
[-49, -67, 40, -4, -1, 73]
[-70, -47, 30, 28, 42, 19]
[-48, -60, 42, -12, 7, 72]
[-81, -39, 19, 36, 63, 3]
[-40, -56, 65, 0, -25, 56]
[-80, -29, 16, 43, 64, -12]
[-44, -67, 56, 8, -12, 59]
[-84, -39, 36, 25, 48, 16]
[-81, -43, 23, 35, 59, 8]
[-48, -37, 81, 35, -45, 3]
[-41, -49, 55, -21, -14, 71]
[-49, -58, 40, -23, -1, 82]
[-60, -54, 66, 45, -18, 10]
[-60, -68, 36, 4, 25, 64]
[-64, -50, 41, -14, 23, 66]
[-48, -40, 74, 45, -46, -5]
[-75, -54, 30, 46, 45, 10]
[-53, -68, 63, 19, -9, 49]
[-49, -68, 63, 16, -14, 52]
[-86, -43, 30, 44, 58, -1]
[-84, -48, 36, 42, 48, 7]
[-80, -53, 25, 35, 55, 19]
[-50, -34, 75, 47, -45, -17]
[-92, -43, 16, 38, 76, 6]
[-57, -55, 64, 50, -44, 5]
[-61, -53, 63, 55, -42, -1]
[-48, -44, 66, 55, -54, -9]
[-93, -45, 11, 33, 83, 12]
[-67, -72, 38, 16, 29, 56]
[-68, -63, 64, -8, 4, 72]
[-80, -61, 25, 39, 55, 23]
[-92, -50, 16, 31, 76, 20]
[-97, -39, 15, 45, 83, -6]
[-84, -58, 36, 32, 48, 27]
[-87, -56, 41, 40, 48, 16]
[-81, -27, 39, 37, 99, -8]
[-69, -76, 55, 17, 15, 59]
[-81, -24, 51, 31, 99, -5]
[-70, -84, 52, 12, -5, 72]
[-61, -29, 79, 22, 99, 7]
[-56, -86, 50, 33, -22, 54]
[-94, -57, 30, 36, 66, 21]
[-70, -84, 64, 12, -5, 72]
[-79, -81, 64, 3, -1, 79]
[-96, -84, 42, 0, 3, 84]
[-86, -81, 46, 9, 18, 72]
[-66, -83, 64, 22, -16, 61]
[-97, -59, 35, 40, 63, 19]
[-74, -78, 44, -9, -22, 87]
[-74, -80, 50, -5, -22, 85]
[-77, -86, 49, 34, 28, 54]
[-94, -80, 59, -8, 1, 88]
[-96, -84, 47, 12, 21, 72]
[-69, -51, 63, 34, 99, 19]
[-88, -75, 67, -15, 0, 90]
[-96, -72, 24, 47, 72, 27]
[-83, -56, 60, -32, 25, 88]
[-74, -89, 65, 13, -31, 76]
[-96, -92, 49, 4, -21, 88]
[-96, -49, 30, 71, 99, -21]
[-86, -82, 71, -10, -29, 94]
[-66, -65, 78, 43, 99, 23]
[-86, -78, 77, -18, -29, 98]
[-84, -81, 69, -17, -51, 99]
[-98, -96, 63, 12, -94, 99]
[-98, -96, 63, -51, -70, 99]
